date,year,month,soi
1981-11-01,1981,11,0.2
1981-12-01,1981,12,0.8
1981-12-01,1981,12,0.5
1982-01-01,1982,1,1.2
1982-01-01,1982,1,2.0
1982-02-01,1982,2,0.3
1982-02-01,1982,2,0.4
1982-03-01,1982,3,1.0
1982-03-01,1982,3,0.6
1982-04-01,1982,4,0.1
1982-04-01,1982,4,0.1
1982-05-01,1982,5,-0.3
1982-05-01,1982,5,-0.6
1982-06-01,1982,6,-1.7
1982-06-01,1982,6,-1.0
1982-07-01,1982,7,-2.5
1982-07-01,1982,7,-1.5
1982-08-01,1982,8,-2.9
1982-08-01,1982,8,-1.7
1982-09-01,1982,9,-1.7
1982-09-01,1982,9,-2.9
1982-10-01,1982,10,-2.8
1982-10-01,1982,10,-1.7
1982-11-01,1982,11,-2.6
1982-11-01,1982,11,-4.3
1982-12-01,1982,12,-2.2
1982-12-01,1982,12,-3.7
1983-01-01,1983,1,-3.5
1983-01-01,1983,1,-5.8
1983-02-01,1983,2,-3.6
1983-02-01,1983,2,-6.0
1983-03-01,1983,3,-4.0
1983-03-01,1983,3,-2.4
1983-04-01,1983,4,-0.9
1983-04-01,1983,4,-1.5
1983-05-01,1983,5,0.6
1983-05-01,1983,5,1.0
1983-06-01,1983,6,0.0
1983-06-01,1983,6,0.1
1983-07-01,1983,7,-0.6
1983-07-01,1983,7,-1.0
1983-08-01,1983,8,0.2
1983-08-01,1983,8,0.1
1983-09-01,1983,9,1.4
1983-09-01,1983,9,0.9
1983-10-01,1983,10,0.7
1983-10-01,1983,10,0.4
1983-11-01,1983,11,-0.1
1983-11-01,1983,11,-0.2
1983-12-01,1983,12,0.0
1983-12-01,1983,12,0.0
1984-01-01,1984,1,0.3
1984-01-01,1984,1,0.2
1984-02-01,1984,2,1.4
1984-02-01,1984,2,0.9
1984-03-01,1984,3,-0.4
1984-03-01,1984,3,-0.2
1984-04-01,1984,4,0.6
1984-04-01,1984,4,0.3
1984-05-01,1984,5,0.2
1984-05-01,1984,5,0.3
1984-06-01,1984,6,-0.3
1984-06-01,1984,6,-0.6
1984-07-01,1984,7,0.3
1984-07-01,1984,7,0.2
1984-08-01,1984,8,0.7
1984-08-01,1984,8,0.4
1984-09-01,1984,9,0.2
1984-09-01,1984,9,0.1
1984-10-01,1984,10,-0.3
1984-10-01,1984,10,-0.5
1984-11-01,1984,11,0.4
1984-11-01,1984,11,0.3
1984-12-01,1984,12,-0.2
1984-12-01,1984,12,-0.1
1985-01-01,1985,1,-0.5
1985-01-01,1985,1,-0.3
1985-02-01,1985,2,1.2
1985-02-01,1985,2,2.0
1985-03-01,1985,3,0.8
1985-03-01,1985,3,1.3
1985-04-01,1985,4,1.9
1985-04-01,1985,4,1.2
1985-05-01,1985,5,0.7
1985-05-01,1985,5,0.4
1985-06-01,1985,6,-0.6
1985-06-01,1985,6,-0.4
1985-07-01,1985,7,-0.1
1985-07-01,1985,7,-0.2
1985-08-01,1985,8,1.0
1985-08-01,1985,8,1.6
