date,suhu_max,suhu_min,hujan,angin,evap,suhu_range,hujan_7d,hujan_30d,suhu_anomali,kekeringan,banjir
2024-05-29,18.9,14.1,3.7,25.2,2.55,4.799999999999999,27.400000000000002,103.19999999999999,-1.3533333333333353,0,0
2024-05-30,20.5,13.6,17.6,16.1,2.79,6.9,44.800000000000004,120.8,0.38333333333333286,0,1
2024-05-31,18.3,11.4,5.1,9.0,2.35,6.9,31.700000000000003,125.89999999999999,-1.5933333333333302,0,0
2024-06-01,20.0,13.6,9.7,13.6,2.01,6.4,40.7,117.6,0.22333333333333627,0,1
2024-06-02,20.8,13.1,3.1,16.3,2.98,7.700000000000001,43.50000000000001,114.9,0.8333333333333357,0,0
2024-06-03,19.8,10.6,0.0,13.0,3.84,9.200000000000001,39.400000000000006,110.80000000000001,-0.25333333333333385,0,0
2024-06-04,20.8,8.9,0.0,11.5,3.72,11.9,39.2,109.2,0.6400000000000006,0,0
2024-06-05,20.6,11.8,2.0,19.2,3.01,8.8,37.5,99.2,0.34333333333333727,0,0
2024-06-06,21.1,9.4,0.4,15.9,4.07,11.700000000000001,20.300000000000004,99.0,0.6566666666666698,0,0
2024-06-07,21.5,8.6,0.0,12.6,4.17,12.9,15.200000000000003,98.7,0.9066666666666698,0,0
2024-06-08,23.5,10.4,0.0,14.3,5.14,13.1,5.5000000000000036,98.7,2.7733333333333334,0,0
2024-06-09,21.5,10.7,0.0,11.4,4.77,10.8,2.4000000000000035,98.7,0.759999999999998,1,0
2024-06-10,19.5,9.7,0.3,26.9,3.73,9.8,2.7000000000000037,99.0,-1.129999999999999,0,0
2024-06-11,17.0,8.4,0.2,13.1,3.69,8.6,2.9000000000000035,99.2,-3.41,0,0
2024-06-12,18.1,7.2,0.1,12.7,4.07,10.900000000000002,1.0000000000000036,98.30000000000001,-2.1133333333333297,1,0
2024-06-13,18.2,9.3,0.0,12.1,3.34,8.899999999999999,0.6000000000000035,98.30000000000001,-1.7800000000000011,1,0
2024-06-14,19.0,11.6,1.6,23.2,2.53,7.4,2.2000000000000037,99.6,-0.8999999999999986,1,0
2024-06-15,20.5,12.8,4.4,30.4,4.76,7.699999999999999,6.600000000000004,102.60000000000001,0.610000000000003,0,0
2024-06-16,20.7,12.7,0.5,21.9,3.6,8.0,7.100000000000004,97.9,0.6766666666666659,0,0
2024-06-17,23.1,14.6,3.9,20.2,3.52,8.500000000000002,10.700000000000005,97.2,2.913333333333334,0,0
2024-06-18,26.2,13.9,2.6,13.5,4.09,12.299999999999999,13.100000000000003,87.9,5.740000000000002,0,0
2024-06-19,20.6,13.6,1.7,16.7,2.39,7.000000000000002,14.700000000000003,89.19999999999999,0.16666666666666785,0,0
2024-06-20,24.8,12.6,0.5,14.3,3.57,12.200000000000001,15.200000000000003,81.8,4.23,0,0
2024-06-21,24.3,17.0,4.4,20.7,3.25,7.300000000000001,18.000000000000004,85.5,3.573333333333334,0,0
