date,suhu_max,suhu_min,hujan,angin,evap,suhu_range,hujan_7d,hujan_30d,suhu_anomali,kekeringan,banjir
2023-08-01,32.0,23.1,3.8,8.5,4.05,8.899999999999999,5.0,213.0,1.826666666666668,1,0
2023-08-02,31.9,22.1,1.7,12.8,4.13,9.799999999999997,5.6,204.70000000000002,1.5466666666666669,1,0
2023-08-03,32.5,23.4,0.0,11.0,4.24,9.100000000000001,5.6,202.70000000000002,2.0933333333333373,1,0
2023-08-04,31.9,23.5,0.1,12.2,4.5,8.399999999999999,5.7,174.0,1.476666666666663,1,0
2023-08-05,31.5,22.8,6.1,8.9,3.74,8.7,11.8,151.79999999999998,1.033333333333335,1,0
2023-08-06,29.8,23.0,19.1,10.2,3.22,6.800000000000001,30.900000000000002,144.5,-0.7199999999999989,1,0
2023-08-07,29.0,23.1,8.4,8.6,2.98,5.899999999999999,39.2,150.3,-1.5166666666666657,1,0
2023-08-08,30.8,23.6,0.5,10.7,4.08,7.199999999999999,35.900000000000006,135.5,0.27666666666667084,1,0
2023-08-09,31.2,22.4,0.1,9.0,4.16,8.8,34.300000000000004,126.80000000000001,0.6599999999999966,1,0
2023-08-10,31.6,22.5,0.0,8.1,4.4,9.100000000000001,34.300000000000004,126.0,1.0233333333333334,1,0
2023-08-11,31.0,21.7,0.3,8.2,4.02,9.3,34.5,126.0,0.4299999999999997,1,0
2023-08-12,31.4,21.7,0.0,14.3,4.68,9.7,28.400000000000002,125.4,0.7966666666666633,1,0
2023-08-13,31.8,22.5,0.0,12.6,4.4,9.3,9.3,97.6,1.1166666666666671,1,0
2023-08-14,32.2,23.0,0.1,10.6,4.55,9.200000000000003,1.0,77.4,1.3566666666666727,1,0
2023-08-15,32.0,24.0,1.2,10.0,4.21,8.0,1.7,75.1,1.086666666666666,1,0
2023-08-16,32.9,22.4,0.0,10.9,4.85,10.5,1.5999999999999999,74.8,1.8833333333333329,1,0
2023-08-17,33.2,23.2,0.0,12.9,4.79,10.000000000000004,1.5999999999999999,74.7,2.080000000000002,1,0
2023-08-18,32.5,22.5,0.7,9.4,3.91,10.0,1.9999999999999998,64.5,1.3033333333333346,1,0
2023-08-19,33.0,23.6,0.0,7.9,4.37,9.399999999999999,2.0,55.0,1.6566666666666627,1,0
2023-08-20,32.9,24.1,1.5,7.7,4.34,8.799999999999997,3.5,50.0,1.4533333333333331,1,0
2023-08-21,33.2,22.5,34.3,12.9,4.03,10.700000000000003,37.699999999999996,84.19999999999999,1.576666666666668,1,1
2023-08-22,31.8,22.6,11.1,11.0,3.62,9.2,47.599999999999994,94.6,0.14666666666666828,0,0
2023-08-23,31.2,22.9,12.3,8.5,3.15,8.3,59.89999999999999,102.5,-0.446666666666669,0,0
2023-08-24,32.1,23.4,15.0,11.2,3.88,8.700000000000003,74.89999999999999,117.5,0.43333333333333357,0,0
2023-08-25,30.3,22.5,28.5,8.7,2.98,7.800000000000001,102.69999999999999,144.89999999999998,-1.3499999999999979,0,1
2023-08-26,30.4,23.0,1.1,8.0,3.75,7.399999999999999,103.79999999999998,146.0,-1.2233333333333363,0,0
2023-08-27,31.1,22.8,0.3,8.5,4.02,8.3,102.6,146.29999999999998,-0.5199999999999996,0,0
2023-08-28,31.7,22.9,0.3,9.6,4.39,8.8,68.60000000000001,146.6,0.06333333333333613,0,0
2023-08-29,31.5,23.0,0.5,9.9,4.41,8.5,58.0,147.1,-0.16000000000000014,0,0
2023-08-30,32.5,23.2,0.0,11.9,4.56,9.3,45.7,147.0,0.8033333333333346,0,0
2023-08-31,32.3,23.3,0.3,10.1,4.54,8.999999999999996,31.0,143.5,0.5933333333333302,1,0
2023-09-01,31.4,22.1,0.4,14.9,4.6,9.299999999999997,2.9,142.2,-0.2900000000000027,1,0
2023-09-02,32.3,22.4,0.0,13.6,4.46,9.899999999999999,1.8,142.2,0.6166666666666636,1,0
2023-09-03,32.7,22.5,0.1,13.4,4.48,10.200000000000003,1.5999999999999999,142.20000000000002,0.9900000000000055,1,0
2023-09-04,32.1,23.7,0.4,11.4,3.89,8.400000000000002,1.7,136.5,0.370000000000001,1,0
2023-09-05,32.2,23.4,11.6,10.5,3.47,8.800000000000004,12.8,129.0,0.3900000000000041,1,0
2023-09-06,31.9,22.2,44.7,9.2,3.91,9.7,57.5,165.3,-0.0066666666666712615,0,1
2023-09-07,29.4,22.8,8.3,5.8,2.98,6.599999999999998,65.5,173.1,-2.4600000000000044,0,0
2023-09-08,31.5,23.2,0.2,9.4,4.03,8.3,65.3,173.20000000000002,-0.370000000000001,0,0
2023-09-09,32.6,23.8,0.0,10.1,4.24,8.8,65.3,173.20000000000002,0.696666666666669,0,0
2023-09-10,32.2,23.3,0.7,11.0,4.12,8.900000000000002,65.9,173.6,0.25666666666667126,0,0
2023-09-11,31.6,22.6,5.3,11.2,3.59,9.0,70.8,178.89999999999998,-0.34999999999999787,0,0
2023-09-12,27.7,23.0,8.6,7.5,2.25,4.699999999999999,67.8,187.5,-4.113333333333337,0,0
2023-09-13,31.2,23.0,4.5,9.4,3.75,8.2,27.6,191.9,-0.5799999999999983,1,0
2023-09-14,29.8,23.3,2.8,6.9,3.43,6.5,22.099999999999998,193.5,-1.9066666666666663,1,0
2023-09-15,31.5,23.1,15.4,10.1,3.6,8.399999999999999,37.3,208.9,-0.1600000000000037,1,0
2023-09-16,31.1,23.1,8.6,8.7,3.75,8.0,45.9,217.5,-0.4899999999999949,0,0
2023-09-17,28.4,23.1,13.7,4.5,2.48,5.299999999999997,58.9,230.5,-3.0533333333333346,0,0
2023-09-18,32.0,23.1,12.6,11.5,4.17,8.899999999999999,66.2,243.1,0.5799999999999983,0,0
